28.74,40.0,24
28.74,40.0,24
28.74,40.0,24
28.74,40.0,24
28.73,40.0,24
28.74,40.0,24
28.73,40.0,24
28.73,40.0,24
28.73,40.0,24
28.74,40.0,24
28.73,40.0,24
28.73,40.0,24
28.74,40.0,24
28.73,40.0,24
28.74,40.0,24
28.73,40.0,24
28.72,40.0,24
28.73,40.0,24
28.73,40.0,24
28.73,40.0,24
28.72,40.0,24
28.73,40.0,24
28.73,40.0,24
28.72,40.0,24
28.72,40.0,25
28.72,40.0,25
28.73,40.0,25
28.72,40.0,25
28.72,40.0,25
28.73,40.0,25
28.72,40.0,25
28.73,40.0,25
28.73,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.72,40.0,25
28.73,40.0,25
28.73,40.0,25
28.72,40.0,25
28.73,40.0,25
28.73,40.0,25
28.73,40.0,25
28.72,40.0,25
28.72,40.0,25
28.73,40.0,25
28.73,40.0,25
28.73,40.0,25
28.72,40.0,25
28.73,40.0,25
28.74,40.0,25
28.73,40.0,25
28.73,40.0,25
28.72,40.0,25
28.72,40.0,25
28.73,40.0,25
28.74,40.0,25
28.74,40.0,25
28.74,40.0,25
28.74,40.0,25
28.75,40.0,25
28.75,40.0,25
28.75,40.0,25
28.74,40.0,25
28.75,40.0,25
28.75,40.0,25
28.75,40.0,25
28.76,40.0,25
28.75,40.0,25
28.76,40.0,25
28.77,40.0,25
28.76,40.0,25
28.76,40.0,25
28.77,40.0,25
28.78,40.0,25
28.78,40.0,25
28.78,40.0,25
28.78,40.0,25
28.78,40.0,25
28.79,40.0,25
28.79,40.0,25
28.79,40.0,25
28.8,40.0,25
28.81,40.0,25
28.8,40.0,25
28.81,40.0,25
28.82,40.0,25
28.82,40.0,25
28.82,40.0,25
28.83,40.0,25
28.83,40.0,25
28.84,40.0,25
28.84,40.0,25
28.85,40.0,25
28.85,40.0,25
28.86,40.0,25
28.85,40.0,25
28.88,40.0,25
28.87,40.0,25
28.87,40.0,25
28.88,40.0,25
28.88,40.0,25
28.89,40.0,25
28.89,40.0,25
28.9,40.0,25
28.9,40.0,25
28.91,40.0,25
28.91,40.0,25
28.92,40.0,25
28.92,40.0,25
28.93,40.0,25
28.93,40.0,25
28.94,40.0,25
28.94,40.0,25
28.95,40.0,25
28.96,40.0,25
28.95,40.0,25
28.97,40.0,25
28.97,40.0,25
28.97,40.0,25
28.98,40.0,25
28.99,40.0,25
28.99,40.0,25
29.01,40.0,25
29.0,40.0,25
29.02,40.0,25
29.01,40.0,25
29.01,40.0,25
